locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFPBCAKN_02583	CDS	471	casB			CRISPR system Cascade subunit CasB
GFPBCAKN_02584	CDS	1095	casC			CRISPR system Cascade subunit CasC
GFPBCAKN_02585	CDS	657	casD			CRISPR system Cascade subunit CasD
GFPBCAKN_02586	CDS	603	casE	3.1.-.-		CRISPR system Cascade subunit CasE
GFPBCAKN_02587	CDS	918	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
GFPBCAKN_02588	CDS	285	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
	repeat_region	1984				
GFPBCAKN_02589	CDS	471				hypothetical protein
GFPBCAKN_02590	CDS	750				hypothetical protein
GFPBCAKN_02591	CDS	2712	acnB	4.2.1.3	COG1049	Aconitate hydratase B
GFPBCAKN_02592	CDS	363				hypothetical protein
GFPBCAKN_02593	CDS	804	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
GFPBCAKN_02594	CDS	858	speE_2	2.5.1.-	COG0421	Polyamine aminopropyltransferase
GFPBCAKN_02595	CDS	348				hypothetical protein
GFPBCAKN_02596	CDS	1611	cueO		COG2132	Blue copper oxidase CueO
GFPBCAKN_02597	CDS	678				hypothetical protein
GFPBCAKN_02598	CDS	1281	mdeA	4.4.1.11		L-methionine gamma-lyase
GFPBCAKN_02599	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
GFPBCAKN_02600	CDS	873				hypothetical protein
GFPBCAKN_02601	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
GFPBCAKN_02602	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
GFPBCAKN_02603	CDS	381	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
GFPBCAKN_02604	CDS	855	panC_2	6.3.2.1	COG0414	Pantothenate synthetase
GFPBCAKN_02605	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
GFPBCAKN_02606	CDS	483	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
GFPBCAKN_02607	CDS	1350	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
GFPBCAKN_02608	CDS	909	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
GFPBCAKN_02609	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
GFPBCAKN_02610	CDS	150				hypothetical protein
GFPBCAKN_02611	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
GFPBCAKN_02612	CDS	528	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
GFPBCAKN_02613	CDS	2439	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
GFPBCAKN_02614	CDS	2517	mrcB		COG0744	Penicillin-binding protein 1B
GFPBCAKN_02615	CDS	5094				hypothetical protein
GFPBCAKN_02616	CDS	1209				hypothetical protein
GFPBCAKN_02617	CDS	3912				hypothetical protein
GFPBCAKN_02618	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
GFPBCAKN_02619	CDS	1035	galM	5.1.3.3	COG2017	Aldose 1-epimerase
GFPBCAKN_02620	CDS	1149	galK	2.7.1.6	COG0153	Galactokinase
GFPBCAKN_02621	CDS	1053	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
GFPBCAKN_02622	CDS	1464	modF		COG1119	ABC transporter ATP-binding protein ModF
GFPBCAKN_02623	CDS	780	modE		COG2005	DNA-binding transcriptional dual regulator ModE
GFPBCAKN_02624	CDS	165	acrZ			Multidrug efflux pump accessory protein AcrZ
GFPBCAKN_02625	CDS	774	modA		COG0725	Molybdate-binding protein ModA
GFPBCAKN_02626	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
GFPBCAKN_02627	CDS	1059	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GFPBCAKN_02628	CDS	819	ybhA	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
GFPBCAKN_02629	CDS	993	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
GFPBCAKN_02630	CDS	477				hypothetical protein
GFPBCAKN_02631	CDS	1056	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
GFPBCAKN_02632	CDS	1287	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
GFPBCAKN_02633	CDS	1032	bioB	2.8.1.6	COG0502	Biotin synthase
GFPBCAKN_02634	CDS	1155	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
GFPBCAKN_02635	CDS	753	bioC	2.1.1.197	COG0500	Malonyl-[acyl-carrier protein] O-methyltransferase
GFPBCAKN_02636	CDS	669	bioD1_2	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
GFPBCAKN_02637	CDS	717	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
GFPBCAKN_02638	CDS	2025	uvrB		COG0556	UvrABC system protein B
GFPBCAKN_02639	CDS	909	ybhK		COG0391	Putative gluconeogenesis factor
GFPBCAKN_02640	CDS	987	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
GFPBCAKN_02641	CDS	516	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
GFPBCAKN_02642	CDS	444	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
GFPBCAKN_02643	CDS	246	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
GFPBCAKN_02644	CDS	462	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
GFPBCAKN_02645	CDS	1089				hypothetical protein
GFPBCAKN_02646	CDS	711	ybhL		COG0670	Inner membrane protein YbhL
GFPBCAKN_02647	CDS	390	ybhQ			Inner membrane protein YbhQ
GFPBCAKN_02648	CDS	1413	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
GFPBCAKN_02649	CDS	933	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
GFPBCAKN_02650	CDS	1101	ybiS	2.-.-.-	COG1376	putative L,D-transpeptidase YbiS
GFPBCAKN_02651	CDS	195				hypothetical protein
GFPBCAKN_02652	CDS	1812		3.2.1.28	COG3387	Trehalase
GFPBCAKN_02653	CDS	567	yohD		COG0586	Inner membrane protein YohD
GFPBCAKN_02654	CDS	588	yohC			Inner membrane protein YohC
GFPBCAKN_02655	CDS	951	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
GFPBCAKN_02656	CDS	2436				hypothetical protein
GFPBCAKN_02657	CDS	1722	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
GFPBCAKN_02658	CDS	2298		3.2.1.-		Beta-xylosidase
GFPBCAKN_02659	CDS	1110				hypothetical protein
GFPBCAKN_02660	CDS	546	idi	5.3.3.2		Isopentenyl-diphosphate Delta-isomerase
GFPBCAKN_02661	CDS	1152				hypothetical protein
GFPBCAKN_02662	CDS	105				hypothetical protein
GFPBCAKN_02663	CDS	534				hypothetical protein
GFPBCAKN_02664	CDS	1245	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
GFPBCAKN_02665	CDS	714				hypothetical protein
GFPBCAKN_02666	CDS	1266				hypothetical protein
GFPBCAKN_02667	CDS	717				hypothetical protein
GFPBCAKN_02668	CDS	432				hypothetical protein
GFPBCAKN_02669	CDS	732	bluR		COG0789	HTH-type transcriptional repressor BluR
GFPBCAKN_02670	CDS	408				hypothetical protein
GFPBCAKN_02671	CDS	414	ttr	2.3.1.-		Acetyltransferase
GFPBCAKN_02672	CDS	2163	dinG	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
GFPBCAKN_02673	CDS	972	ybiB		COG0547	putative protein YbiB
GFPBCAKN_02674	CDS	1167	hipO	3.5.1.32	COG1473	Hippurate hydrolase
GFPBCAKN_02675	CDS	1686	hutU	4.2.1.49	COG2987	Urocanate hydratase
GFPBCAKN_02676	CDS	1551	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
GFPBCAKN_02677	CDS	921				hypothetical protein
GFPBCAKN_02678	CDS	591	ves		COG3758	Protein Ves
GFPBCAKN_02679	CDS	1356		3.5.4.32	COG0402	8-oxoguanine deaminase
GFPBCAKN_02680	CDS	1218	hutI	3.5.2.7	COG1228	Imidazolonepropionase
GFPBCAKN_02681	CDS	789				hypothetical protein
GFPBCAKN_02682	CDS	522		3.1.3.-	COG4502	Putative 5'(3')-deoxyribonucleotidase
GFPBCAKN_02683	CDS	627				hypothetical protein
GFPBCAKN_02684	CDS	261				hypothetical protein
GFPBCAKN_02685	CDS	900				hypothetical protein
GFPBCAKN_02686	CDS	387				hypothetical protein
GFPBCAKN_02687	CDS	504	atsB	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
GFPBCAKN_02688	CDS	999	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
GFPBCAKN_02689	CDS	2268	ybiO		COG0668	Moderate conductance mechanosensitive channel YbiO
GFPBCAKN_02690	CDS	762				hypothetical protein
GFPBCAKN_02691	CDS	723	glnQ_4		COG1126	Glutamine transport ATP-binding protein GlnQ
GFPBCAKN_02692	CDS	660	glnP		COG0765	Glutamine transport system permease protein GlnP
GFPBCAKN_02693	CDS	747	glnH_2		COG0834	Glutamine-binding periplasmic protein
GFPBCAKN_02694	CDS	264	ybiI		COG1734	putative protein YbiI
GFPBCAKN_02695	CDS	507	dps	1.16.-.-	COG0783	DNA protection during starvation protein
GFPBCAKN_02696	CDS	897	rhtA		COG5006	Threonine/homoserine exporter RhtA
GFPBCAKN_02697	CDS	510	ompX		COG3637	Outer membrane protein X
GFPBCAKN_02698	CDS	108				hypothetical protein
GFPBCAKN_02699	CDS	453	mntR		COG1321	Transcriptional regulator MntR
GFPBCAKN_02700	CDS	1143	emrA_3		COG1566	Multidrug export protein EmrA
GFPBCAKN_02701	CDS	1569	emrB_2			Multidrug export protein EmrB
GFPBCAKN_02702	CDS	1548	oprM_2		COG1538	Outer membrane protein OprM
GFPBCAKN_02703	CDS	1491	iolT			Major myo-inositol transporter IolT
GFPBCAKN_02704	CDS	1593	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
GFPBCAKN_02705	CDS	762	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
GFPBCAKN_02706	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
GFPBCAKN_02707	CDS	948	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
GFPBCAKN_02708	CDS	1848	gsiA_2	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
GFPBCAKN_02709	CDS	1539	gsiB		COG0747	Glutathione-binding protein GsiB
GFPBCAKN_02710	CDS	921	gsiC_3		COG0601	Glutathione transport system permease protein GsiC
GFPBCAKN_02711	CDS	906	gsiD_2		COG1173	Glutathione transport system permease protein GsiD
GFPBCAKN_02712	CDS	1209	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
GFPBCAKN_02713	CDS	1284	sdaC		COG0814	Serine transporter
GFPBCAKN_02714	CDS	777				hypothetical protein
GFPBCAKN_02715	CDS	1689	aspT			Aspartate/alanine antiporter
GFPBCAKN_02716	CDS	264	grxA		COG0695	Glutaredoxin 1
GFPBCAKN_02717	CDS	282				hypothetical protein
GFPBCAKN_02718	CDS	723	nfsA	1.-.-.-	COG0778	Oxygen-insensitive NADPH nitroreductase
GFPBCAKN_02719	CDS	480	ybjN			putative protein YbjN
GFPBCAKN_02720	CDS	1110	potF		COG0687	Putrescine-binding periplasmic protein
GFPBCAKN_02721	CDS	1140	potA_2	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
GFPBCAKN_02722	CDS	963	potH		COG1176	Putrescine transport system permease protein PotH
GFPBCAKN_02723	CDS	846	ydcV_2			Inner membrane ABC transporter permease protein YdcV
GFPBCAKN_02724	CDS	489	ybjO			Inner membrane protein YbjO
GFPBCAKN_02725	CDS	732	artJ		COG0834	ABC transporter arginine-binding protein 1
GFPBCAKN_02726	CDS	672	artM_2		COG4160	Arginine ABC transporter permease protein ArtM
GFPBCAKN_02727	CDS	717	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
GFPBCAKN_02728	CDS	732	artI		COG0834	Putative ABC transporter arginine-binding protein 2
GFPBCAKN_02729	CDS	729	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
GFPBCAKN_02730	CDS	531	ybjP			putative lipoprotein YbjP
GFPBCAKN_02731	CDS	324				hypothetical protein
GFPBCAKN_02732	CDS	843	amiD_2	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
GFPBCAKN_02733	CDS	591	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
GFPBCAKN_02734	CDS	189	yihD		COG3084	Protein YihD
GFPBCAKN_02735	CDS	993	srkA_2	2.7.11.1	COG2334	Stress response kinase A
GFPBCAKN_02736	CDS	630	dsbA_1		COG0526	Thiol:disulfide interchange protein DsbA
GFPBCAKN_02737	CDS	2790	polA	2.7.7.7	COG0258	DNA polymerase I
GFPBCAKN_02738	CDS	630	engB		COG0218	putative GTP-binding protein EngB
GFPBCAKN_02739	CDS	522	yihI		COG3078	Der GTPase-activating protein YihI
GFPBCAKN_02740	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
GFPBCAKN_02741	CDS	1410	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
GFPBCAKN_02742	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
GFPBCAKN_02743	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
GFPBCAKN_02744	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
GFPBCAKN_02745	CDS	612	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
GFPBCAKN_02746	CDS	873				hypothetical protein
GFPBCAKN_02747	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
GFPBCAKN_02748	CDS	939				hypothetical protein
GFPBCAKN_02749	CDS	867	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
GFPBCAKN_02750	CDS	1683				hypothetical protein
GFPBCAKN_02751	CDS	1389	xanP		COG2233	Xanthine permease XanP
GFPBCAKN_02752	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
GFPBCAKN_02753	CDS	696	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
GFPBCAKN_02754	CDS	2124	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
GFPBCAKN_02755	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
GFPBCAKN_02756	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
GFPBCAKN_02757	CDS	1665	ligB	6.5.1.2	COG0272	DNA ligase B
GFPBCAKN_02758	CDS	618				hypothetical protein
GFPBCAKN_02759	CDS	645	rcsB_2		COG2197	Transcriptional regulatory protein RcsB
GFPBCAKN_02760	CDS	1365	ycaD_2			putative MFS-type transporter YcaD
GFPBCAKN_02761	CDS	339				hypothetical protein
GFPBCAKN_02762	CDS	327				hypothetical protein
GFPBCAKN_02763	CDS	222				hypothetical protein
GFPBCAKN_02764	CDS	987				hypothetical protein
GFPBCAKN_02765	CDS	372				hypothetical protein
GFPBCAKN_02766	CDS	1608				hypothetical protein
GFPBCAKN_02767	CDS	357				hypothetical protein
GFPBCAKN_02768	CDS	435				hypothetical protein
GFPBCAKN_02769	CDS	354				IS3 family transposase ISSlo2
GFPBCAKN_02770	CDS	594				hypothetical protein
GFPBCAKN_02771	CDS	393				hypothetical protein
GFPBCAKN_02772	CDS	105				hypothetical protein
GFPBCAKN_02773	CDS	276				hypothetical protein
GFPBCAKN_02774	CDS	1119	haeIIIM	2.1.1.37		Modification methylase HaeIII
GFPBCAKN_02775	CDS	1605				hypothetical protein
GFPBCAKN_02776	CDS	1278				hypothetical protein
GFPBCAKN_02777	CDS	1224	intS_2		COG0582	Prophage integrase IntS
GFPBCAKN_02778	CDS	864				hypothetical protein
GFPBCAKN_02779	CDS	429				hypothetical protein
GFPBCAKN_02780	CDS	1185	nupC_2		COG1972	Nucleoside permease NupC
GFPBCAKN_02781	CDS	717	rph	2.7.7.56		Ribonuclease PH
GFPBCAKN_02782	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
GFPBCAKN_02783	CDS	597	slmA_2		COG1309	Nucleoid occlusion factor SlmA
GFPBCAKN_02784	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
GFPBCAKN_02785	CDS	1215	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
GFPBCAKN_02786	CDS	108				hypothetical protein
GFPBCAKN_02787	CDS	672				hypothetical protein
GFPBCAKN_02788	CDS	237	rpmB		COG0227	50S ribosomal protein L28
GFPBCAKN_02789	CDS	168	rpmG		COG0267	50S ribosomal protein L33
GFPBCAKN_02790	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
GFPBCAKN_02791	CDS	477	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
GFPBCAKN_02792	CDS	777				hypothetical protein
GFPBCAKN_02793	CDS	1275	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
GFPBCAKN_02794	CDS	1014				hypothetical protein
GFPBCAKN_02795	CDS	1098	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
GFPBCAKN_02796	CDS	1128	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
GFPBCAKN_02797	CDS	1074	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
GFPBCAKN_02798	CDS	957				hypothetical protein
GFPBCAKN_02799	CDS	1104				hypothetical protein
GFPBCAKN_02800	CDS	981				hypothetical protein
GFPBCAKN_02801	CDS	1245	rfaL			O-antigen ligase
GFPBCAKN_02802	CDS	1167	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
GFPBCAKN_02803	CDS	966	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
GFPBCAKN_02804	CDS	1047	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
GFPBCAKN_02805	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
GFPBCAKN_02806	CDS	927				hypothetical protein
GFPBCAKN_02807	CDS	1290	envC		COG4942	Murein hydrolase activator EnvC
GFPBCAKN_02808	CDS	432	yibN		COG0607	putative protein YibN
GFPBCAKN_02809	CDS	252	grxC		COG0695	Glutaredoxin 3
GFPBCAKN_02810	CDS	462	secB		COG1952	Protein-export protein SecB
GFPBCAKN_02811	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
GFPBCAKN_02812	CDS	819	cysE	2.3.1.30	COG1045	Serine acetyltransferase
GFPBCAKN_02813	CDS	471	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
GFPBCAKN_02814	CDS	1380	cpxA	2.7.13.3		Sensor histidine kinase CpxA
GFPBCAKN_02815	CDS	702	cpxR		COG0745	Transcriptional regulatory protein CpxR
GFPBCAKN_02816	CDS	510	cpxP		COG3678	Periplasmic protein CpxP
GFPBCAKN_02817	CDS	903	fieF		COG0053	Ferrous-iron efflux pump FieF
GFPBCAKN_02818	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
GFPBCAKN_02819	CDS	990	sbp		COG1613	Sulfate-binding protein
GFPBCAKN_02820	CDS	756	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
GFPBCAKN_02821	CDS	1023	yhjD		COG1295	Inner membrane protein YhjD
GFPBCAKN_02822	CDS	288				hypothetical protein
GFPBCAKN_02823	CDS	852	phzF	5.3.3.17		Trans-2,3-dihydro-3-hydroxyanthranilate isomerase
GFPBCAKN_02824	CDS	177				hypothetical protein
GFPBCAKN_02825	CDS	165				hypothetical protein
GFPBCAKN_02826	CDS	1563	mqo_2	1.1.5.4	COG0579	Malate:quinone oxidoreductase
GFPBCAKN_02827	CDS	285				hypothetical protein
GFPBCAKN_02828	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
GFPBCAKN_02829	CDS	594				hypothetical protein
GFPBCAKN_02830	CDS	444				hypothetical protein
GFPBCAKN_02831	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
GFPBCAKN_02832	CDS	1179	emrD			Multidrug resistance protein D
GFPBCAKN_02833	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
GFPBCAKN_02834	CDS	1002				hypothetical protein
GFPBCAKN_02835	CDS	1515	glpK	2.7.1.30	COG0554	Glycerol kinase
GFPBCAKN_02836	CDS	834	glpF		COG0580	Glycerol uptake facilitator protein
GFPBCAKN_02837	CDS	240	zapB		COG3074	Cell division protein ZapB
GFPBCAKN_02838	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
GFPBCAKN_02839	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
GFPBCAKN_02840	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
GFPBCAKN_02841	CDS	888	ftsN		COG3087	Cell division protein FtsN
GFPBCAKN_02842	CDS	1038	cytR		COG1609	HTH-type transcriptional repressor CytR
GFPBCAKN_02843	CDS	2199	priA	3.6.4.-	COG1198	Primosomal protein N'
GFPBCAKN_02844	CDS	213	rpmE		COG0254	50S ribosomal protein L31
GFPBCAKN_02845	CDS	318	metJ		COG3060	Met repressor
GFPBCAKN_02846	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
GFPBCAKN_02847	CDS	2436	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
GFPBCAKN_02848	CDS	906	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
GFPBCAKN_02849	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
GFPBCAKN_02850	CDS	1152	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
GFPBCAKN_02851	CDS	780	argB	2.7.2.8	COG0548	Acetylglutamate kinase
GFPBCAKN_02852	CDS	1215	argG	6.3.4.5	COG0137	Argininosuccinate synthase
GFPBCAKN_02853	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
GFPBCAKN_02854	CDS	732	PGdx	1.11.1.15	COG0678	Hybrid peroxiredoxin hyPrx5
GFPBCAKN_02855	CDS	906	oxyR_2			Hydrogen peroxide-inducible genes activator
GFPBCAKN_02856	CDS	1401	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
GFPBCAKN_02857	CDS	657	fabR		COG1309	HTH-type transcriptional repressor FabR
GFPBCAKN_02858	CDS	354	yijD			Inner membrane protein YijD
GFPBCAKN_02859	CDS	1104	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
GFPBCAKN_02860	CDS	852	murI	5.1.1.3	COG0796	Glutamate racemase
GFPBCAKN_02861	tRNA	73				tRNA-Met(cat)
GFPBCAKN_02862	CDS	1146	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
GFPBCAKN_02863	CDS	801	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
GFPBCAKN_02864	CDS	450	csdE		COG2166	Sulfur acceptor protein CsdE
GFPBCAKN_02865	CDS	1215	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
GFPBCAKN_02866	CDS	225	ygdR_3			putative lipoprotein YgdR
GFPBCAKN_02867	CDS	918	gcvA			Glycine cleavage system transcriptional activator
GFPBCAKN_02868	CDS	396				hypothetical protein
GFPBCAKN_02869	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
GFPBCAKN_02870	CDS	756	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
GFPBCAKN_02871	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
GFPBCAKN_02872	CDS	846	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
GFPBCAKN_02873	CDS	561	syd			Protein Syd
GFPBCAKN_02874	CDS	135				hypothetical protein
GFPBCAKN_02875	CDS	324	yqcC		COG3098	putative protein YqcC
GFPBCAKN_02876	CDS	768	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
GFPBCAKN_02877	CDS	450			COG0716	putative protein
GFPBCAKN_02878	CDS	1140	garK	2.7.1.165	COG1929	Glycerate 2-kinase
GFPBCAKN_02879	CDS	2775	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
GFPBCAKN_02880	CDS	1317	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
GFPBCAKN_02881	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
GFPBCAKN_02882	CDS	783	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
GFPBCAKN_02883	CDS	1638	pyrG_1	6.3.4.2	COG0504	CTP synthase
GFPBCAKN_02884	CDS	1296	eno	4.2.1.11	COG0148	Enolase
GFPBCAKN_02885	CDS	1887				hypothetical protein
GFPBCAKN_02886	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
GFPBCAKN_02887	CDS	774			COG0834	putative amino-acid ABC transporter-binding protein
GFPBCAKN_02888	CDS	765	artM_3		COG1126	Arginine transport ATP-binding protein ArtM
GFPBCAKN_02889	CDS	684	tcyB		COG0765	L-cystine transport system permease protein TcyB
GFPBCAKN_02890	CDS	810				hypothetical protein
GFPBCAKN_02891	CDS	360	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
GFPBCAKN_02892	CDS	1803	cysJ_2	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
GFPBCAKN_02893	CDS	1716	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
GFPBCAKN_02894	CDS	732	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
GFPBCAKN_02895	CDS	285				hypothetical protein
GFPBCAKN_02896	CDS	1416	cysG		COG0007	Siroheme synthase
GFPBCAKN_02897	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
GFPBCAKN_02898	CDS	1431	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
GFPBCAKN_02899	CDS	669	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
GFPBCAKN_02900	CDS	324	ygbE			Inner membrane protein YgbE
GFPBCAKN_02901	CDS	315	ftsB		COG2919	Cell division protein FtsB
GFPBCAKN_02902	CDS	705	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
GFPBCAKN_02903	CDS	474	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
